Site;ForestType;canopy_gap;Forestage_2005;vol_2005;BasalArea_2005;Pine_2005;Spruce_2005;Deciduous_2005;Forestage_2018;vol_2018;BasalArea_2018;Pine_2018;Spruce_2018;Birch_percent_2018;Deciduous_2018;MaNonegeCat;MaNonegeSubCat;Date;Year;temp_dAprilMax;TWI_val;bas_spruce;bas_pine;bas_birch;bas_sorbus;bas_asp;boulder;log_20;log_5;new_stumps;old_stumps;tmaxapril_2005;tmin5sep_2005;mean_TreeHeight;soil_moist
1;mixed;22.67925;55;237;26.5;40;60;0;68;341;32.7;37;62;1;0;Nutrients;Nutrients;30/06/2011;2011;-1.45307;7.5220399;21;7.9;2;0;0;12;3;19;0;5;10.7840996;1.88579;25.16924602;0.5
2;mixed;36.04675;56;246;32.1;30;61;10;68;252;27.6;27;62;0;11;None;None;None;None;1.2075;7.2002001;8.8;8.2;1;0;0;36.5;2;12;56;20;11.0535002;0.032661;17.60078142;0.515625
3;spruce;21.8895;80;329;31.1;0;100;0;93;481;40;0;100;0;0;None;None;None;None;-2.1443999;9.4370499;18.8;1;2;0;0.8;18;9;10;0;0;9.9418201;3.6305301;27.33606611;0.5
4;spruce;15.8852;50;390;39.9;0;100;0;62;341;34.4;0;100;0;0;None;None;None;None;1.3251899;6.11728;30.6;0;0;0;0;3;0;0;44;24;6.6733298;0.408169;24.59342143;0.5
5;mixed;27.3952;55;314;36;65;35;0;68;241;28.1;60;39;1;0;Thinning;ThinUnk;01/04/2007;2007;1.94423;6.7463698;10.3;10.7;0.6;0;0;13;0;0;64;13;8.8080101;2.91014;25.00267275;0.5
6;mixed;39.3128;67;276;31.3;40;60;0;80;210;22.2;37;63;0;0;Nutrients;Nutrients;01/08/2010;2010;2.19258;7.6206498;8.9;7.4;0;0;0;6;0;0;32;5;10.4987001;2.95579;22.29597818;0.575
7;NA;29.245;57;202;23.8;80;20;0;70;310;30.4;78;22;0;0;Thinning;ThinUnk;01/04/2006;2006;-1.59023;7.1961198;10.2;9.8;1.2;1.5;0;17;2;3;0;22;12.0542002;1.15784;NA;0.509375
8;mixed;33.3958;54;278;34.3;80;20;0;67;290;28.5;63;37;0;0;Thinning;FirstThin;01/12/2007;2007;1.39747;6.8875399;6;8.5;0;0;0;22;0;0;19;2;8.8473396;3.1503401;24.57485738;0.55625
9;mixed;25.168;56;297;31.6;80;20;0;69;418;38.8;52;48;0;0;Thinning;FirstThin;01/01/2008;2008;-1.73479;6.3043599;10;10.8;0;0;0;11;0;0;0;8;10.4066;2.5877399;24.47558965;0.5
10;mixed;30.4598;52;217;24.8;87;13;0;65;292;29.6;85;15;0;0;Nutrients;Nutrients;01/06/2013;2013;-1.18318;7.4609599;5.1;14.6;0;0;0;3;0;1;0;5;11.1296997;1.571;25.07825931;0.6
11;pine;44.1522;55;152;20;100;0;0;68;266;26.5;100;0;0;0;Noneture;Noneture;25/06/2011;2011;-1.7361799;6.92031;0.8;18.4;0;0;0;4.5;0;0;1;8.5;13.0509996;0.150937;19.90999329;0.553125
12;mixed;43.1236;51;262;35.1;95;5;0;63;251;26.2;92;5;2;0;Thinning;FirstThin;01/11/2005;2005;2.2667301;6.3126001;2.9;11.1;0.75;0;0;5;0;10;12;9;9.2624302;1.5405;20.04051329;0.5
13;NA;30.9732;69;224;26.3;90;10;0;82;327;33.8;89;11;0;0;Nutrients;Nutrients;01/06/2006;2006;-1.80707;7.4601898;1.9;17.3;1.5;0;0;6;7;11;0;13;11.9267998;3.3919899;NA;0.5
14;mixed;29.8474;58;290;38;90;10;0;70;297;29;78;22;0;0;Thinning;ThinUnk;01/10/2008;2008;2.1684899;6.7118502;5.9;10;0;0;0;4;1;2;18;5;7.9306798;0.0913965;25.9626848;0.503125
15;mixed;27.38425;54;206;26.9;100;0;0;67;324;32.3;99;0;1;0;Clearing;UnderClear;01/10/2007;2007;-1.2603199;6.8755598;5.6;11.3;0;0;0;7;1;1;0;5;11.6582003;0.458379;18.03552725;0.5
16;NA;33.8002;61;175;19;68;32;0;61;291;28.9;80;18;2;0;Thinning;ThinUnk;01/08/2008;2008;-2.3055201;6.0548902;1.5;12.1;0;0;0;37;1;0;5;24;12.6239996;1.73044;NA;0.5
17;mixed;39.5158;68;147;20.1;86;14;0;80;255;26.8;67;26;7;0;Nutrients;Nutrients;25/06/2012;2012;-1.3045501;6.1548901;2;12;1;1;0;12;0;4;9;6;13.2549;1.59273;17.60535;0.59375
18;pine;52.6302;69;195;26.9;70;30;0;81;176;21.9;65;35;0;0;Thinning;ThinUnk;01/06/2007;2007;1.20472;7.62535;0.6;14.7;0;0;0;11;0;15;12;7;12.2792997;1.2008899;16.89323443;0.425
19;mixed;41.1734;70;223;26;70;30;0;82;189;22.7;83;17;0;0;Nutrients;Nutrients;17/09/2012;2012;0.795113;6.8291402;6.9;9;0;0;0;11;1;2;25;9;12.0689001;1.59236;20.23132224;0.46875
20;pine;38.022;59;224;29.1;100;0;0;71;249;26.3;82;15;4;0;Thinning;ThinUnk;01/02/2006;2006;0.796973;8.0442696;0;20.2;0;0;0;41;0;4;39;5;11.6119003;1.18504;26.8461456;0.5
21;spruce;15.9164;67;292;32;0;91;9;80;378;36.2;28;70;2;0;Nutrients;Nutrients;01/09/2010;2010;-1.1725301;5.43785;22.1;0.5;1;0;0;6;0;10;1;9;10.6281996;2.7369599;23.50514918;0.5
22;mixed;24.2736;73;180;20.7;38;62;0;86;292;28.7;35;65;0;0;Nutrients;Nutrients;07/02/2014;2014;-1.92755;6.1031399;15.4;5.1;0;0;0;0;18;17;0;14;12.9726;0.225357;24.44303471;0.5
23;mixed;38.68125;67;218;30.3;80;20;0;79;196;22;77;23;0;0;None;None;None;None;1.99983;9.0116901;8.1;10.6;0;0;0;2;6;2;9;8;10.5261002;3.3837199;20.11328838;0.5
24;spruce;32.7238;62;312;35.7;60;40;0;74;281;27.8;54;44;2;0;None;None;None;None;1.98501;8.61759;11.4;9.1;0;0;0;7;19;0;21;8;9.3764496;0.338068;28.10778712;0.50625
25;mixed;37.6924;69;220;24.6;57;43;0;82;303;29.5;54;46;0;0;Thinning;ThinUnk;01/11/2008;2008;-1.18062;7.1978502;7.5;13.5;0;0;0;3;0;20;0;11;12.2459002;0.207716;26.0964873;0.50625
26;mixed;27.874;70;204;23.6;34;66;0;83;317;30.3;32;68;0;0;Thinning;ThinUnk;01/08/2006;2006;-1.61432;7.3845901;10.3;8;1;0;0;3;1;3;6;15;12.8147001;3.0589399;25.79239826;0.5
27;pine;51.1828;81;177;20.7;80;20;0;94;277;27.8;78;22;0;0;Nutrients;Nutrients;18/05/2011;2011;-1.7107;6.7662802;1.5;14.3;0;0;0;15;5;3;0;5;13.1633997;1.69789;21.92439906;0.46875
28;pine;50.2016;55;134;18.6;93;7;0;68;234;25.2;91;9;0;0;Thinning;FirstThin;01/02/2008;2008;-1.59023;9.0219603;1.4;18.7;0;0;0;12;6;5;0;2;13.7023001;0.0644589;21.14491884;0.5
29;mixed;50.884;50;202;29.9;100;0;0;68;202;21.4;87;12;1;0;Clearing;UnderClear;01/11/2007;2007;2.0888;8.1953897;2.1;18;0;0;0;16;1;28;38;5;9.4652004;2.85519;18.39998417;0.4875
30;mixed;39.4478;70;87;9.4;67;33;0;83;233;23.1;63;37;0;0;Nutrients;Nutrients;27/06/2011;2011;-3.30092;6.73878;8.4;6;0;0;0;2;0;5;0;1;14.3598003;0.805224;18.20334428;0.525
31;spruce;16.7594;60;369;35.2;0;100;0;71;367;42.7;0;100;0;0;Nutrients;Nutrients;01/09/2010;2010;-1.80708;6.9284801;29.2;1.7;0;1.5;0;3;19;22;0;1;7.5216098;3.18348;30.26549875;0.5
