"","Site","Number_subpop","Number_reproduce","Number_cells","Area"
"1","1",20,3,144,23
"2","2",6,9,49,6
"3","3",20,40,156,25
"4","4",11,0,102,11
"5","5",12,10,67,12
"6","6",2,1,21,2
"7","7",20,2,148,61
"8","8",20,42,144,43
"9","9",20,7,131,27
"10","10",20,12,206,161
"11","12",2,4,12,2
"12","14",20,9,116,66
"13","15",20,2,105,105
"14","18",20,16,132,38
"15","19",4,0,15,4
"16","20",20,18,182,144
"17","21",20,8,307,286
"18","22",10,3,48,10
"19","23",13,45,333,13
"20","24",20,4,130,61
"21","25",20,33,260,52
"22","26",20,10,182,29
"23","27",1,2,4,1
"24","28",10,0,191,10
"25","30",6,13,52,6
"26","31",4,0,16,2
"27","32",2,1,8,4
"28","33",4,2,15,4
"29","35",3,0,24,3
"30","38",20,8,95,76
"31","39",4,0,24,4
"32","40",17,7,82,17
"33","42",20,0,85,80
"34","45",12,3,54,12
"35","46",6,3,46,6
"36","47",20,5,134,62
"37","48",18,10,123,18
"38","50",20,0,88,29
"39","51",2,5,12,2
"40","53",20,0,76,22
"41","54",11,2,75,11
"42","55",2,0,10,2
