"","Site","Number_subpop","Number_reproduce","Number_cells","Area"
"1","1",6,0,89,6
"2","2",20,1,454,64
"3","3",14,0,282,14
"4","5",20,0,279,107
"5","6",5,0,61,5
"6","7",20,6,776,134
"7","8",20,17,299,311
"8","9",20,0,537,127
"9","10",20,0,430,3
"10","11",3,0,8,3
"11","12",20,6,240,0
"12","14",20,3,768,368
"13","15",20,0,222,202
"14","16",20,0,345,175
"15","21",20,0,621,129
"16","22",20,0,700,47
"17","23",8,0,190,8
"18","26",20,0,572,168
"19","29",1,0,6,1
"20","30",7,0,49,7
"21","32",20,0,251,30
"22","33",1,0,7,1
"23","34",16,0,192,16
"24","36",5,0,39,5
"25","38",20,0,382,87
"26","39",4,0,38,4
"27","40",12,0,384,12
"28","41",7,0,91,7
"29","42",20,0,552,83
"30","44",20,1,574,111
"31","45",20,0,280,89
"32","46",20,0,622,317
"33","47",20,0,749,104
"34","48",20,0,483,36
"35","50",12,0,102,12
"36","51",10,0,183,10
"37","52",14,0,330,14
"38","54",10,0,118,10
"39","55",13,0,323,13
