Site	date	long	lat	TreeLog	MossLog	Linnea	Calamagrostis	Hypnum	Barbilophozia
1	15/07/2019	15.97872502	60.10993003	15:10	15:10	89	900	116	NA
2	02/07/2019	15.88386401	60.212233	14:05	09:50	454	60	10.35	1
3	03/07/2019	15.89476199	60.23445502	11:25	NA	282	920	97	1
4	15/07/2019	15.54346201	60.29661303	11:25	11:25	NA	352	NA	5
5	04/07/2019	15.14169401	60.10354201	14:00	15:00	279	408	163	NA
6	16/07/2019	15.715876	60.13498303	13:40	13:38	61	8	NA	NA
7	NA	15.65185502	60.10745703	NA	NA	776	1040	74.5	1
8	06/07/2019	15.66268796	60.10105242	09:40	09:40	299	860	1	NA
9	06/07/2019	15.65882809	60.08697401	14:15	14:10	537	1260	91	NA
10	16/07/2019	15.68248685	60.09316664	09:33	09:35	430	1040	NA	NA
11	05/07/2019	15.14795504	60.04002596	14:20	14:20	8	NA	NA	NA
12	05/07/2019	15.151214	60.04082602	12:00	12:00	240	4	NA	NA
13	NA	15.17602201	60.16507801	NA	NA	NA	NA	NA	NA
14	07/07/2019	15.62290401	60.18742902	09:45	09:45	768	700	NA	8
15	07/07/2019	15.63180601	60.17495298	13:30	13:30	222	920	NA	NA
16	03/07/2019	16.51176897	60.21509299	15:20	15:20	345	NA	17	1
17	03/08/2019	16.107965	59.76687902	11:30	11:30	NA	NA	33	NA
18	01/08/2019	16.02424202	59.79638097	12:10	12:10	NA	920	NA	NA
19	01/08/2019	16.02024696	59.793036	10:20	10:20	NA	20	NA	NA
20	02/08/2019	16.04686302	59.78550201	10:25	10:25	NA	1020	42	NA
21	31/07/2019	16.06381701	59.83001604	10:55	10:55	621	1520	110	NA
22	31/07/2019	16.05162	59.82579801	12:55	12:55	700	180	2	NA
23	29/07/2019	16.09426503	59.81338299	10:50	10:49	190	169	6	NA
24	03/08/2019	16.08092104	59.76989097	13:38	13:38	NA	780	112	NA
25	30/07/2019	16.10129996	59.76248003	13:50	13:50	NA	840	137	NA
26	30/07/2019	16.10831503	59.75364701	11:50	11:49	572	940	12	NA
27	29/07/2019	16.08665301	59.78012603	13:02	13:02	NA	1	56	NA
28	02/08/2019	16.02476204	59.77392702	12:12	12:12	NA	150	20	NA
29	17/07/2019	14.61928904	60.165782	12:20	12:20	6	NA	NA	NA
30	17/07/2019	14.60040403	60.093674	15:50	15:50	49	48	NA	3
31	19/07/2019	14.36635598	60.09920396	11:50	11:48	NA	28	NA	6
32	19/07/2019	14.36605196	60.10150303	09:35	09:35	251	14	NA	NA
33	10/07/2019	14.44331601	60.08898198	14:24	14:23	7	44	NA	NA
34	23/07/2019	14.251987	60.19933401	13:20	13:20	192	NA	NA	2
35	23/07/2019	14.37951498	60.17462499	10:05	10:05	NA	18	NA	7
36	25/07/2019	14.310791	59.99170203	13:30	13:30	39	NA	NA	NA
37	NA	14.40343701	60.02408803	NA	NA	NA	NA	NA	NA
38	28/07/2019	14.36925402	60.02864099	10:41	10:43	382	780	25	NA
39	21/07/2019	14.26781204	59.99951497	11:50	11:50	38	32	NA	NA
40	25/07/2019	14.59262604	60.10240098	10:30	10:30	384	459	NA	18
41	25/07/2019	14.59492402	60.09549597	13:15	13:15	91	NA	NA	NA
42	04/07/2019	14.81989296	59.975921	10:15	10:15	552	1200	NA	12
43	28/07/2019	14.72646902	59.80909598	13:23	13:15	NA	NA	NA	NA
44	18/07/2019	14.28475304	59.78329799	15:14	15:14	574	NA	13	NA
45	18/07/2019	14.24681202	59.81690297	11:35	11:35	280	276	NA	4
46	22/07/2019	14.23007302	59.74241903	15:15	15:15	622	84	450	NA
47	24/07/2019	14.32857899	59.56936198	11:05	11:05	749	920	NA	NA
48	23/07/2019	14.34982594	59.56852404	13:33	13:33	483	756	85	NA
49	27/07/2019	14.34610899	59.60725204	13:58	13:58	NA	NA	14	NA
50	22/07/2019	14.23193699	59.67484396	11:20	11:20	102	820	123	NA
51	20/07/2019	14.18214597	59.75980201	14:30	14:30	183	4	148	NA
52	20/07/2019	14.06978404	59.71515899	11:10	11:10	330	NA	17	NA
53	26/07/2019	14.36398499	59.53312903	10:55	10:55	NA	800	52	NA
54	26/07/2019	14.34350104	59.52933898	12:30	12:30	118	297	15	NA
55	27/07/2019	14.39601903	59.55208797	11:20	11:20	323	10	6	NA
